num_infected	num_positive	num_recovered	num_tested	tseries
1.0	0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0	2.1729608872489474
2.0	1.0	0.0	1000.0	3.7825695085824007
3.0	1.0	0.0	1000.0	3.9423733357862316
3.0	1.0	0.0	1000.0	4.396818014089911
4.0	3.0	0.0	1000.0	4.640615945490664
5.0	3.0	0.0	1000.0	5.171020811277767
5.0	3.0	0.0	1000.0	5.181603174407795
4.0	3.0	1.0	1000.0	5.364324630624447
4.0	3.0	1.0	1000.0	5.640976524843114
4.0	3.0	1.0	1000.0	5.721548093486386
4.0	3.0	1.0	1000.0	5.749560786626604
3.0	3.0	2.0	1000.0	5.978343063200124
3.0	3.0	2.0	1000.0	6.172715688189722
3.0	4.0	2.0	1000.0	6.379428997148698
3.0	4.0	2.0	1000.0	8.209170924889355
2.0	4.0	3.0	1000.0	9.318783870185799
1.0	5.0	3.0	1000.0	9.382759311009789
1.0	5.0	3.0	1000.0	13.836404379147325
0.0	5.0	4.0	1000.0	17.259597118181357
